BVDID,nace_main_section,nace_core_code,NACE_prim,NACE_sec
IT03246720274,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4674.0,4674.0,
IT03246720274,,,,
IT03252200278,P - Education,8559.0,8559.0,
IT03293720821,C - Manufacturing,2016.0,2016.0,
IT03348070156,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4651.0,4651.0,
IT04035210378,C - Manufacturing,2841.0,2841.0,
IT04497370728,C - Manufacturing,3109.0,3109.0,
IT04497370728,,,,
IT04497370728,,,,
IT04497370728,,,,
IT04609450632,C - Manufacturing,3020.0,3020.0,
IT05599880829,"E - Water supply; sewerage, waste management and remediation activities",3600.0,3600.0,
IT05795200483,C - Manufacturing,2341.0,2341.0,
IT05795200483,,,,
IT13356620156,"D - Electricity, gas, steam and air conditioning supply",3511.0,3511.0,
IT13356620156,,,,
IT13356620156,,,,
IT13356620156,,,,
IT13356620156,,,,
IT13356620156,,,,
IT13356620156,,,,
IT13356620156,,,,
IT13974081005,H - Transportation and storage,5110.0,5110.0,
IT13974081005,,,,
LT120230369,C - Manufacturing,2841.0,2841.0,2849.0
LT133859013,C - Manufacturing,2451.0,2451.0,
LT133859013,,,,
LV000324575,H - Transportation and storage,5110.0,5110.0,5121.0
LV000324575,,,,5223.0
LV000324575,,,,7735.0
LV000324575,,,,
LV000324575,H - Transportation and storage,5110.0,5110.0,5121.0
LV000324575,,,,5223.0
LV000324575,,,,7735.0
LV000324575,,,,
MTC2685,H - Transportation and storage,5110.0,5110.0,
NL22000547,C - Manufacturing,3011.0,3011.0,2442.0
NL22000547,,,,2599.0
NL22000547,,,,
NL55993044,C - Manufacturing,2015.0,2015.0,
NL55993044,,,,
NL55993044,,,,
NL59307803,"E - Water supply; sewerage, waste management and remediation activities",3821.0,3821.0,3511.0
NL59307803,,,,6420.0
NL59307803,,,,
NL59307803,,,,
NL59307803,,,,
NL59307803,,,,
NL59307803,,,,
NL59307803,,,,
NL59307803,,,,
NL59307803,,,,
PL000025483,I - Accommodation and food service activities,5520.0,5520.0,
PL000025483,,,,
PL000026927,C - Manufacturing,2443.0,2443.0,
PL000032922,C - Manufacturing,2849.0,2849.0,
PL000039516,C - Manufacturing,2740.0,2740.0,
PL000054651,B - Mining and quarrying,811.0,811.0,
PL000054651,,,,
PL000054651,,,,
PL000143538,H - Transportation and storage,5229.0,5229.0,
PL000274080,C - Manufacturing,1812.0,1812.0,
PL000616310,H - Transportation and storage,4931.0,4931.0,
PL000616310,,,,
PL000616385,H - Transportation and storage,4939.0,4939.0,
PL000616385,,,,
PL000616385,,,,
PL000616385,,,,
PL000617060,H - Transportation and storage,4941.0,4941.0,
PL000617060,,,,
PL000617060,,,,
PL000617060,,,,
PL000617060,,,,
PL000617634,H - Transportation and storage,4939.0,4939.0,
PL000617634,,,,
PL000617634,,,,
PL000617634,,,,
PL010058960,H - Transportation and storage,5110.0,5110.0,
PL010058960,,,,
PL010592085,C - Manufacturing,2410.0,2410.0,
PL010721743,C - Manufacturing,2120.0,2120.0,
PL011646854,C - Manufacturing,2910.0,2910.0,6820.0
PL011646854,,,,
PL011646854,,,,
PL011646854,,,,
PL011646854,,,,
PL011646854,,,,
PL050001868,C - Manufacturing,2849.0,2849.0,
PL070629344,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4778.0,4778.0,
PL120382402,J - Information and communication,5920.0,5920.0,
PL120382402,,,,
PL120382402,,,,
PL141934443,F - Construction,4211.0,4211.0,
PL141934443,,,,
PL190021931,C - Manufacturing,3011.0,3011.0,
PL191261790,C - Manufacturing,2630.0,2630.0,
PL191621930,C - Manufacturing,3011.0,3011.0,
PL230482452,C - Manufacturing,1310.0,1310.0,
PL272488730,"M - Professional, scientific and technical activities",7022.0,7022.0,
PL272488730,,,,
PL276766892,C - Manufacturing,2442.0,2442.0,
PL291751835,C - Manufacturing,2751.0,2751.0,
PL291751835,,,,
PL291751835,,,,
PL351000614,F - Construction,4120.0,4120.0,
PL351000614,,,,
PL351000614,,,,
PL351000614,,,,
PL351000614,,,,
PL351000614,,,,
PL430459300,C - Manufacturing,2815.0,2815.0,
PL430459300,,,,
PL810822270,C - Manufacturing,2015.0,2015.0,2895.0
PL830005443,C - Manufacturing,2540.0,2540.0,7010.0
PL830005443,,,,
PL830005443,,,,
PL830005443,,,,
PT500100527,C - Manufacturing,3011.0,3011.0,3315.0
PT503204455,L - Real estate activities,6820.0,6820.0,7022.0
PT503204455,,,,
PT503204455,,,,
PT503204455,,,,
PT503204455,,,,
PT503204455,,,,
RO10254529,B - Mining and quarrying,721.0,721.0,
RO2126855,C - Manufacturing,2599.0,2599.0,
RO2643045,C - Manufacturing,1071.0,1071.0,
RO2643045,,,,
RO30855230,"D - Electricity, gas, steam and air conditioning supply",3511.0,3511.0,
RO30855230,,,,
RO30855230,,,,
RO30855230,,,,
RO30855230,,,,
RO30855230,,,,
RO30855230,,,,
RO30855230,,,,
SE5566068499,H - Transportation and storage,5110.0,5110.0,
SI5038634,C - Manufacturing,1621.0,1621.0,
SI5038634,,,,
SI5040302,C - Manufacturing,2453.0,2453.0,
SI5041210,C - Manufacturing,1431.0,1431.0,
SI5156505,H - Transportation and storage,5110.0,5110.0,
SI5156505,,,,
SK31573207,C - Manufacturing,2561.0,2561.0,4752.0
SK31573207,,,,
SK31573207,,,,
